days,location,pH,temperature
1,Section1,6.050907640708819,20.180634515465666
2,Section1,6.510724799885806,20.229317570536768
3,Section1,6.306598454880726,19.8002761888506
4,Section1,6.441108625654035,20.12064419794258
5,Section1,6.436184835663655,19.97767902179391
1,Section2,6.24064483414359,19.831671646438043
2,Section2,6.338754208597982,19.769866085124548
3,Section2,6.281406907339045,19.925543145072634
4,Section2,6.524961088638701,19.834124844663073
5,Section2,6.518694052455538,19.929924778751577
1,Section3,6.4245845980853105,19.844705949912935
2,Section3,6.443863217900336,20.141506449726688
3,Section3,6.146905461303428,19.780632320797146
4,Section3,6.063549287455437,19.821688938000424
5,Section3,6.240623057836418,20.00134804425567
