Area,Rainfall,Temperature,Irrigation,Yield,Humidity,price
1279,2903.1,27.0,Drip,2570.0,57.0,200000
13283,2903.1,27.0,Drip,27170.0,57.5,4847
52119,2903.1,27.0,Drip,114744.0,57.0,51239
725,2996.6,27.0,Drip,1402.0,55.0,216396
12885,2996.6,27.0,Drip,23456.0,56.0,2644
51179,2996.6,27.0,Drip,107809.0,54.0,44235
468,3522.8,27.2,Drip,1132.0,58.0,203317
11841,3522.8,27.2,Drip,23960.0,58.0,2134
50975,3522.8,27.2,Drip,126487.0,59.0,45186
206,3729.8,27.0,Drip,804.0,50.0,238542
10922,3729.8,27.0,Drip,30362.0,54.0,1516
51390,3729.8,27.0,Drip,124492.0,53.0,57259
177,2746.2,27.0,Drip,792.0,52.0,234779
10723,2746.2,27.0,Drip,34153.0,51.0,1493
51709,2746.2,27.0,Drip,132551.0,57.0,64409
146,3360.0,27.2,Drip,338.0,57.0,249978
10910,3360.0,27.2,Drip,22966.0,60.0,637
51355,3360.0,27.2,Drip,131763.0,57.0,43311
160,3605.4,27.1,Drip,404.0,57.0,24848
10912,3605.4,27.1,Drip,24184.0,54.0,761
51353,3605.4,27.1,Drip,124387.0,54.5,45608
142,3512.4,26.8,Drip,343.0,56.6,234581
10505,3512.4,26.8,Drip,23099.0,55.5,646
51040,3512.4,26.8,Drip,117825.84,58.5,43562
154,3296.0,37.0,Drip,336.0,59.5,200000
10318,3296.0,37.0,Drip,22594.0,55.0,4847
48083,3296.0,37.0,Drip,116481.07,53.0,51239
143,3550.0,38.0,Drip,316.0,53.5,216396
9283,3550.0,38.0,Drip,21400.0,52.5,2644
47200,3550.0,38.0,Drip,122102.0,56.0,44235
158,3654.0,39.0,Drip,382.0,57.0,203317
8982,3654.0,39.0,Drip,19578.0,57.5,2134
46990,3654.0,39.0,Drip,121037.0,57.0,45186
103,233.0,40.0,Drip,231.0,55.0,238542
8239,233.0,40.0,Drip,18951.0,56.0,1516
44563,233.0,40.0,Drip,110579.0,54.0,57259
96,234.0,41.0,Drip,221.0,58.0,234779
6949,234.0,41.0,Drip,15362.0,58.0,1493
44663,234.0,41.0,Drip,120373.0,59.0,64409
110,3105.0,42.0,Drip,291.0,50.0,249978
6824,3105.0,42.0,Drip,17231.0,54.0,637
43013,3105.0,42.0,Drip,119359.0,53.0,43311
95,236.0,43.0,Drip,283.0,52.0,24848
6441,236.0,43.0,Drip,17690.0,51.0,761
4012,2903.1,27.0,Basin,7157.0,57.0,45608
4877,2903.1,27.0,Basin,8700.0,57.0,234581
4930,2903.1,27.0,Basin,41266.0,60.0,646
4954,2996.6,27.0,Basin,8838.0,57.0,43562
5019,2996.6,27.0,Basin,8954.0,57.0,200000
5127,2996.6,27.0,Basin,42915.0,54.0,4847
5174,3522.8,27.2,Basin,9230.0,54.5,51239
5294,3522.8,27.2,Basin,44313.0,56.6,216396
5474,3522.8,27.2,Basin,45820.0,55.5,2644
5864,3729.8,27.0,Basin,49084.0,58.5,44235
7028,3729.8,27.0,Basin,86311.0,59.5,203317
7403,3729.8,27.0,Basin,57642.0,55.0,2134
7501,2746.2,27.0,Basin,58405.0,53.0,45186
7714,2746.2,27.0,Basin,60751.0,53.5,238542
7856,2746.2,27.0,Basin,109506.0,52.5,1516
32,3360.0,27.2,Basin,114.0,56.0,57259
1,3360.0,27.2,Basin,3.0,57.0,234779
30,3360.0,27.2,Basin,95.0,57.5,1493
6,3605.4,27.1,Basin,19.0,57.0,64409
15,3605.4,27.1,Basin,54.0,55.0,249978
4,3605.4,27.1,Basin,13.0,56.0,200000
39,3512.4,26.8,Basin,123.0,54.0,4847
6,3512.4,26.8,Basin,19.0,58.0,51239
12,3512.4,26.8,Basin,32.0,58.0,216396
3,3296.0,37.0,Basin,8.0,59.0,2644
17,3296.0,37.0,Basin,50.0,50.0,44235
3,3296.0,37.0,Basin,10.0,54.0,203317
9,3550.0,38.0,Basin,29.0,53.0,2134
21,3550.0,38.0,Basin,44.0,52.0,45186
11,3550.0,38.0,Basin,33.0,51.0,238542
4,3654.0,39.0,Basin,14.0,57.0,1516
15,3654.0,39.0,Basin,56.0,57.0,57259
8,3654.0,39.0,Basin,26.0,60.0,234779
29,233.0,40.0,Basin,98.0,57.0,1493
1,233.0,40.0,Basin,3.0,57.0,64409
13736,233.0,40.0,Basin,58637.0,54.0,249978
14003,234.0,41.0,Basin,59777.0,54.5,637
14179,234.0,41.0,Basin,60528.0,56.6,43311
14319,234.0,41.0,Basin,61126.0,55.5,24848
14464,3105.0,42.0,Basin,623687.0,58.5,761
14876,3105.0,42.0,Basin,63504.0,59.5,45608
14976,3105.0,42.0,Basin,63931.0,55.0,234581
15009,236.0,43.0,Basin,73730.0,53.0,646
15114,2903.1,27.0,Spray,118416.0,53.5,43562
16224,2903.1,27.0,Spray,130132.0,52.5,200000
17095,2903.1,27.0,Spray,154889.0,56.0,4847
17512,2996.6,27.0,Spray,171739.0,57.0,51239
17587,2996.6,27.0,Spray,172475.0,57.5,216396
17771,2996.6,27.0,Spray,177939.0,57.0,2644
17825,3522.8,27.2,Spray,313547.0,55.0,44235
3147,3522.8,27.2,Spray,2783.0,56.0,203317
2578,3522.8,27.2,Spray,1533.0,54.0,2134
1591,3729.8,27.0,Spray,1647.0,58.0,45186
1298,3729.8,27.0,Spray,975.0,58.0,238542
4,3729.8,27.0,Spray,2.0,59.0,1516
1122,2746.2,27.0,Spray,836.0,50.0,57259
