komoditas,tahun,luas_panen,produksi,produktivitas
Alpukat,2019,3684037,461613,125.3
Anggur,2019,236599,13723,58
Apel,2019,3121663,481373,154.2
Belimbing,2019,1137307,106067,93.26
Buah Naga*,2019,, - , - 
Duku/Langsat/Kokosan,2019,3285717,269337,81.97
Durian,2019,10534478,1169802,111.05
Jambu Air,2019,1867601,122943,65.83
Jambu Biji,2019,3996152,239405,59.91
Jeruk Lemon,2019,, - , - 
Jeruk Pamelo,2019,1057695,118969,112.48
Jeruk Siam/Keprok,2019,26521339,2444516,92.17
Lengkeng,2019,, - , - 
Mangga,2019,28429339,2808936,98.8
Manggis,2019,2957275,246476,83.35
Markisa/Konyal,2019,649342,44977,69.27
Nangka/Cempedak,2019,6902510,779859,112.98
Nenas*,2019,693748550,2196456,3.17
Pepaya,2019,12851985,986991,76.8
Pisang*,2019,105798840,7280659,68.82
Rambutan,2019,11129401,764583,68.7
Salak,2019,54099594,955763,17.67
Sawo,2019,1447654,144964,100.14
Sirsak,2019,1724487,70728,41.01
Sukun,2019,1516315,122481,80.78
Blewah,2019,3416,34078,9975.68
Melon,2019,8643,122106,14127.51
Semangka,2019,34505,523335,15167.11
Stroberi,2019,543,7499,13810.31
Alpukat,2020,3914743,609049,155.58
Anggur,2020,197291,11905,60.34
Apel,2020,3128935,516531,165.08
Belimbing,2020,1097138,114524,104.38
Buah Naga*,2020,, - , - 
Duku/Langsat/Kokosan,2020,3061321,289598,94.6
Durian,2020,9257892,1133195,122.4
Jambu Air,2020,1847981,182908,98.98
Jambu Biji,2020,4155935,396268,95.35
Jeruk Lemon,2020,, - , - 
Jeruk Pamelo,2020,917511,129568,141.22
Jeruk Siam/Keprok,2020,24616325,2593384,105.35
Lengkeng,2020,, - , - 
Mangga,2020,26464666,2898588,109.53
Manggis,2020,3105210,322414,103.83
Markisa/Konyal,2020,648111,53319,82.27
Nangka/Cempedak,2020,6488755,824068,127
Nenas*,2020,569315968,2447243,4.3
Pepaya,2020,11827183,1016388,85.94
Pisang*,2020,109422938,8182756,74.78
Rambutan,2020,9246809,681178,73.67
Salak,2020,52031788,1225088,23.54
Sawo,2020,1390838,186706,134.24
Sirsak,2020,1805825,127845,70.8
Sukun,2020,1473204,190551,129.34
Blewah,2020,2999,33056,11021.26
Melon,2020,8211,138177,16827.96
Semangka,2020,33417,560317,16767.66
Stroberi,2020,682,8350,12242.16
Alpukat,2021,4705091,669260,142.24
Anggur,2021,187177,12164,64.98
Apel,2021,3019185,509544,168.77
Belimbing,2021,1219628,137450,112.7
Buah Naga*,2021,6554588,484083,73.85
Duku/Langsat/Kokosan,2021,2621409,250355,95.5
Durian,2021,10104124,1353037,133.91
Jambu Air,2021,2157651,206423,95.67
Jambu Biji,2021,4261637,422491,99.14
Jeruk Lemon,2021,560095,34246,61.14
Jeruk Pamelo,2021,785026,112797,143.69
Jeruk Siam/Keprok,2021,25131894,2401064,95.54
Lengkeng,2021,481253,90378,187.8
Mangga,2021,26834482,2835442,105.66
Manggis,2021,2705421,303934,112.34
Markisa/Konyal,2021,, - , - 
Nangka/Cempedak,2021,7583659,906514,119.54
Nenas*,2021,597048364,2886417,4.83
Pepaya,2021,11313981,1168266,103.26
Pisang*,2021,115915412,8741147,75.41
